ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTMETHOD
25600,31,74.79,5,2314.11,2025-01-04,Shipped,1,1,2025,Motorcycles,88.92,S71_7376,Walton Group,970.812.4278,9976 Brad Drives,Suite 873,Evanshire,KY,5200,Mayotte,LATAM,Mooney,Gregory,Medium,Credit Card
12448,50,118.78,10,5942.72,2025-01-08,In Process,1,1,2025,Classic Cars,112.94,S55_7828,"Johnson, Webster and Lopez",(744)356-1082x89263,2264 Thomas Squares,Suite 217,Edwardsberg,DC,47365,Norfolk Island,LATAM,Valdez,Frank,Large,Credit Card
28565,10,38.8,1,442.72,2025-04-24,Shipped,2,4,2025,Trains,43.25,S83_1710,Chavez Group,525-253-6815,9946 Joshua Port Suite 846,Suite 754,Austintown,AR,75169,Panama,LATAM,Pineda,Eric,Small,Cash
18055,29,73.93,9,2161.76,2025-05-31,In Process,2,5,2025,Classic Cars,69.14,S15_1287,"Hardin, Snow and Obrien",001-216-906-1158,9986 William Street Suite 258,Suite 912,Josephborough,MA,24087,Honduras,LATAM,Blair,Justin,Medium,Credit Card
11130,5,91.22,8,502.02,2025-05-08,Shipped,2,5,2025,Ships,76.75,S71_7348,"Martinez, Khan and Perry",548-288-2030,2102 Katherine Knoll Apt. 322,Suite 062,Rodriguezshire,CT,2401,Rwanda,APAC,Smith,Angelica,Small,PayPal
22363,70,70.77,7,5015.52,2025-01-17,Cancelled,1,1,2025,Trucks and Buses,64.02,S57_5999,"Daniel, Kelly and Rios",001-279-739-5755x904,4832 John Row,Suite 702,North Erica,GA,77830,Northern Mariana Islands,LATAM,Williamson,Joshua,Large,Bank Transfer
20973,98,61.85,2,6013.21,2025-06-29,Shipped,2,6,2025,Trucks and Buses,57.77,S47_7562,Shaw-Perez,436.563.7932x1042,2425 Sarah Fort,Suite 035,Pamelastad,MN,67375,Nepal,LATAM,Williams,Heather,Large,Bank Transfer
27946,10,92.53,9,855.93,2025-02-25,Shipped,1,2,2025,Vintage Cars,104.07,S74_9249,Rose-Weaver,(984)930-8688x238,760 Amber Street,Apt. 233,New George,VI,70976,Botswana,LATAM,Richardson,Blake,Small,Bank Transfer
10744,21,94.11,4,1992.56,2025-04-09,In Process,2,4,2025,Classic Cars,94.93,S77_1795,Ellison-Frost,243-920-9122,651 Kenneth Turnpike,Suite 129,Lake Zacharyland,WV,64292,Bosnia and Herzegovina,LATAM,Forbes,Darrell,Small,Cash
24699,10,132.0,7,1272.89,2025-03-18,Resolved,1,3,2025,Ships,132.48,S65_1265,"Williams, Logan and Lam",804-776-1556,3884 Holden Parkway,Apt. 787,Millerburgh,HI,84723,Cook Islands,EMEA,Conner,Kevin,Small,Credit Card
22218,41,100.89,1,4134.2,2025-01-15,In Process,1,1,2025,Classic Cars,106.79,S94_1504,"Spence, Harris and Castaneda",654.533.2814x72335,973 Denise Trafficway,Apt. 551,Lake Kristinberg,NC,63229,Portugal,APAC,Terrell,Travis,Medium,Credit Card
20576,51,69.27,2,3537.96,2025-03-04,In Process,1,3,2025,Motorcycles,64.48,S30_8066,Flores Group,+1-575-792-8529x142,14543 Peggy Haven,Suite 183,Lake Danielberg,OR,41685,Australia,APAC,Vasquez,Joseph,Medium,Credit Card
11272,57,57.07,4,3206.17,2025-01-27,In Process,1,1,2025,Motorcycles,67.44,S32_8088,Aguirre PLC,001-577-659-1674,4101 Trevor Viaduct,Suite 173,West Jessica,ME,77664,Yemen,LATAM,White,Brian,Medium,Credit Card
26176,30,54.8,4,1575.72,2025-04-07,Shipped,2,4,2025,Motorcycles,52.89,S27_6250,Russell-Rodriguez,577-825-6198x7085,6975 Stokes Camp,Apt. 901,Melissaland,MD,18765,Suriname,APAC,Wells,Alexis,Small,Credit Card
17558,50,53.24,10,2642.58,2025-04-10,Shipped,2,4,2025,Motorcycles,60.79,S87_4321,Andrews-Mitchell,(664)992-7460,651 Dickerson Key,Apt. 361,Port Samantha,NC,99349,Turkey,APAC,Martinez,Julie,Medium,Credit Card
28921,10,98.49,5,983.74,2025-03-31,Shipped,1,3,2025,Vintage Cars,89.83,S55_9156,Campbell-Andersen,(316)655-5539x729,967 Gutierrez Lake,Suite 841,Toddbury,AZ,92968,Bolivia,LATAM,Howard,Denise,Small,Credit Card
12056,57,72.54,2,4115.92,2025-04-11,Shipped,2,4,2025,Trucks and Buses,82.12,S32_6109,Cook Ltd,(748)781-2723x2147,7109 Allen Junctions,Suite 584,Kimbury,MO,29092,Timor-Leste,APAC,Ellison,Tyler,Medium,Cash
27411,85,77.02,6,6501.6,2025-05-19,Shipped,2,5,2025,Trucks and Buses,65.68,S97_1015,Solomon Inc,+1-373-309-3264x951,8895 Victoria Estates Apt. 651,Suite 882,Gloriaton,MI,66137,Guatemala,EMEA,Aguilar,Matthew,Large,Credit Card
18307,89,52.77,6,4701.53,2025-01-05,In Process,1,1,2025,Trucks and Buses,52.29,S53_5933,Ferguson-Steele,(331)268-5760,366 Pena Summit,Apt. 495,West Gregoryton,OK,68706,United States of America,EMEA,Goodman,Glenn,Medium,Credit Card
10490,48,75.63,5,3651.52,2025-06-16,Shipped,2,6,2025,Classic Cars,65.27,S17_6273,Gardner Group,346-539-2859,947 Perkins Trail,Apt. 220,Brittneyfort,TN,62169,Netherlands Antilles,EMEA,Hodges,Chelsea,Medium,Credit Card
14077,69,80.52,1,5512.32,2025-05-14,In Process,2,5,2025,Trucks and Buses,90.09,S28_4544,Tucker LLC,+1-881-783-1544,2225 Sara Fords,Suite 418,Danielview,TX,31322,Algeria,LATAM,Brown,Melinda,Large,Credit Card
12618,97,83.76,6,8233.24,2025-04-29,Resolved,2,4,2025,Trucks and Buses,71.19,S87_6823,Swanson-Howard,001-851-658-2610x561,5317 Hammond Fall Suite 987,Apt. 946,East Tylermouth,NE,18294,Uzbekistan,APAC,White,Matthew,Large,Credit Card
20842,14,34.89,6,344.52,2025-03-12,In Process,1,3,2025,Trains,40.42,S45_7601,Gomez-Wolf,(890)469-3925,19872 Perez Skyway,Suite 044,Lake Kathleen,CA,92198,Portugal,APAC,Henry,Amy,Small,PayPal
20196,59,49.11,1,2911.33,2025-05-06,In Process,2,5,2025,Motorcycles,53.87,S45_1499,Floyd and Sons,(408)329-2832x64584,49438 Garrett Shoals,Apt. 146,Woodwardmouth,HI,20370,Qatar,LATAM,Bailey,Reginald,Medium,PayPal
26459,23,24.86,8,466.64,2025-01-31,Cancelled,1,1,2025,Trains,23.74,S39_6507,Taylor LLC,(566)628-9152,079 Elizabeth Burg,Apt. 045,Port Roystad,MT,58861,Niue,APAC,Wilson,Linda,Small,Bank Transfer
28792,57,63.58,1,3643.76,2025-06-01,Shipped,2,6,2025,Motorcycles,74.46,S96_5610,Glenn Ltd,325.648.5993,92737 Larry Walks,Apt. 162,West Jasminfurt,CA,86959,Antarctica (the territory South of 60 deg S),APAC,Gallegos,Jonathan,Medium,Credit Card
29846,38,46.82,10,1840.35,2025-03-12,Shipped,1,3,2025,Motorcycles,38.63,S62_7956,Tran Ltd,216-343-4620,842 Stanley Dam,Apt. 600,Birdville,WV,39157,Bosnia and Herzegovina,EMEA,Burke,James,Small,Cash
24754,34,69.5,6,2309.46,2025-06-23,Shipped,2,6,2025,Classic Cars,68.43,S91_1965,"Donaldson, Bowen and Marshall",001-755-983-6119x4660,202 Joshua Circles,Apt. 836,Rosstown,WA,95813,Dominican Republic,APAC,Miller,Matthew,Medium,PayPal
12911,33,92.74,1,3029.14,2025-06-01,Shipped,2,6,2025,Classic Cars,92.93,S38_9226,Ramirez LLC,+1-208-919-4509x408,855 Alexis Flats Suite 110,Apt. 960,Loveton,GA,88162,Cayman Islands,LATAM,Smith,Samuel,Medium,PayPal
17828,22,34.12,6,780.77,2025-06-17,In Process,2,6,2025,Trains,28.95,S44_3992,Wilson Inc,936.298.4826x7479,85705 Horton Manors,Suite 186,Lake Brianberg,AZ,42975,French Polynesia,EMEA,Rogers,Kelly,Small,Bank Transfer
27170,35,63.86,7,2248.01,2025-06-22,In Process,2,6,2025,Classic Cars,66.83,S16_3770,Mercer and Sons,8728826877,1568 Henry Spurs,Apt. 453,South Douglasfort,FL,98818,Guernsey,LATAM,Wilson,James,Medium,PayPal
20649,17,21.08,2,475.37,2025-03-31,Shipped,1,3,2025,Trains,20.63,S88_4196,Johnson PLC,+1-462-443-8207,1376 Johnson Lake,Suite 857,Anthonyshire,VI,58323,Reunion,APAC,Thomas,Robert,Small,PayPal
10171,11,45.82,9,470.57,2025-02-05,Cancelled,1,2,2025,Trains,54.07,S88_4195,Thomas-Jenkins,930-712-3358x533,32993 Armstrong Ramp Apt. 629,Apt. 739,Lake Darren,MH,43952,Grenada,LATAM,Mitchell,Ashley,Small,PayPal
29137,50,53.07,8,2692.74,2025-02-22,Shipped,1,2,2025,Motorcycles,49.59,S83_6776,Blake LLC,+1-359-252-4777x549,7950 Lisa Rapid,Apt. 328,South Juliehaven,TX,34676,Sri Lanka,LATAM,Smith,Ronald,Medium,Bank Transfer
20434,92,88.05,10,8187.38,2025-04-21,On Hold,2,4,2025,Trucks and Buses,82.07,S84_2218,Schneider-Evans,653.571.6400,571 Joseph Wells Apt. 949,Suite 711,North Sharon,AZ,9472,Saint Lucia,EMEA,Ross,Crystal,Large,Bank Transfer
14355,43,65.21,1,2878.45,2025-01-24,Resolved,1,1,2025,Classic Cars,52.97,S96_4912,Salazar-Krueger,227.824.6421,100 Nolan Lights Suite 489,Apt. 231,Lake Douglas,WY,83297,United Kingdom,APAC,Malone,James,Medium,Credit Card
22647,44,100.34,3,4412.51,2025-02-23,Cancelled,1,2,2025,Classic Cars,111.71,S96_9768,Coleman Group,302-219-5660,764 Michael Ridge,Suite 838,Lisastad,ME,26566,Portugal,LATAM,Harrell,Aaron,Medium,Credit Card
12398,27,68.46,5,1834.64,2025-06-13,Shipped,2,6,2025,Classic Cars,62.22,S13_8508,"Miller, Miller and Sullivan",909.429.6309x4322,61423 Cheryl Lane Apt. 190,Apt. 785,North Ashleyshire,CO,22166,Panama,LATAM,Walker,Elizabeth,Small,PayPal
21058,56,68.17,4,3783.66,2025-02-14,In Process,1,2,2025,Motorcycles,61.62,S13_4845,Norman PLC,+1-533-377-3084x8037,086 Donna Well Suite 628,Apt. 351,Port Kristen,UT,96384,Angola,APAC,Peterson,Lee,Medium,Credit Card
12325,57,61.37,9,3525.73,2025-04-06,Shipped,2,4,2025,Motorcycles,59.93,S35_6597,Smith-Reed,6428253508,5646 Ibarra Oval Suite 354,Suite 066,Markside,IL,80304,Nepal,LATAM,Jackson,Reginald,Medium,Bank Transfer
26944,98,69.7,5,6924.88,2025-01-22,Shipped,1,1,2025,Trucks and Buses,77.83,S80_7377,"Mcintyre, Rojas and Mitchell",406.352.1686x05394,96907 Noah Corner,Suite 203,Floreshaven,FL,59428,Antigua and Barbuda,APAC,Garcia,Crystal,Large,Credit Card
20067,37,117.28,4,4309.27,2025-06-12,Shipped,2,6,2025,Classic Cars,119.16,S18_8110,Lucas Ltd,9807430782,101 Jennifer Motorway,Apt. 239,Monicaberg,DC,61444,Burkina Faso,LATAM,Charles,Seth,Medium,Credit Card
28093,39,106.14,7,4291.93,2025-02-02,On Hold,1,2,2025,Classic Cars,89.83,S14_2007,Baker and Sons,834.297.0164,736 Emily Field Apt. 193,Apt. 084,East Lisa,LA,32073,Israel,LATAM,Richardson,Louis,Medium,Credit Card
20257,7,199.71,10,1127.15,2025-04-15,Resolved,2,4,2025,Planes,220.55,S50_3973,Ramirez-Young,(205)542-0440x6400,6492 Dominguez Pike,Suite 472,Troymouth,NJ,99179,United States Minor Outlying Islands,EMEA,Davis,Bruce,Small,PayPal
11468,31,75.8,7,2300.41,2025-04-05,Shipped,2,4,2025,Motorcycles,73.84,S39_7863,Ramirez-Cook,611-395-8745,109 Miller Village Apt. 839,Apt. 007,Ronnieport,NC,3493,Bermuda,EMEA,Bowman,Sharon,Medium,Credit Card
17094,42,83.3,7,3560.0,2025-02-14,Shipped,1,2,2025,Classic Cars,76.27,S33_9912,Hodge-Martin,001-354-873-2854x965,0290 Nolan Tunnel,Suite 406,Port Ericmouth,AR,33932,Oman,EMEA,Schwartz,Kristen,Medium,PayPal
25304,44,55.52,2,2444.77,2025-05-27,In Process,2,5,2025,Motorcycles,56.52,S10_2404,Carroll Inc,764-301-2514x53678,899 Davis Inlet,Apt. 665,West Joelfort,GA,23954,Bangladesh,LATAM,Vega,Nancy,Medium,Credit Card
14511,46,65.25,1,3053.25,2025-03-17,Shipped,1,3,2025,Classic Cars,56.55,S72_5380,Mcdonald-Collins,765.811.4605,058 Christina Mountains,Suite 371,Markport,ID,44819,South Africa,EMEA,Hamilton,Laura,Medium,PayPal
17797,8,139.13,7,1106.84,2025-04-13,Shipped,2,4,2025,Ships,120.86,S93_8589,Henderson PLC,579-490-7698,83237 Lewis Walk Suite 383,Apt. 846,Lake Daniel,NM,24003,Korea,LATAM,Adkins,Leon,Small,Credit Card
28117,21,79.8,6,1741.79,2025-06-29,Resolved,2,6,2025,Classic Cars,66.12,S91_5785,Gonzalez Ltd,873.482.7465,56022 Heather Keys,Apt. 347,North Christopherfurt,IL,64910,Bhutan,LATAM,George,Michael,Small,PayPal
15380,13,42.09,2,403.27,2025-03-19,Shipped,1,3,2025,Trains,40.48,S24_1668,Brooks-Mcdonald,001-353-282-6429x060,440 West Ranch Suite 195,Apt. 587,South Geraldstad,VA,76935,Bhutan,APAC,Anderson,Nathan,Small,PayPal
17605,26,25.93,7,633.47,2025-03-31,Shipped,1,3,2025,Trains,30.54,S57_2448,Jones PLC,+1-891-542-9457x9655,8421 Garcia Groves,Apt. 644,Port Christopherfurt,MN,67531,Western Sahara,LATAM,Moore,Victoria,Small,Credit Card
16314,73,50.7,8,3694.05,2025-02-13,Shipped,1,2,2025,Trucks and Buses,45.01,S61_9872,Farrell-Walters,306-407-3443,29173 Seth Estates Suite 217,Suite 205,Carolburgh,MD,49142,Trinidad and Tobago,APAC,Howell,Kevin,Medium,PayPal
14603,39,97.2,9,3727.28,2025-02-13,Shipped,1,2,2025,Classic Cars,92.86,S76_1717,Guerra-Burnett,391.318.6444,5605 Roach Shore,Apt. 476,North Carl,OR,17100,Monaco,LATAM,Taylor,Maria,Medium,Credit Card
24815,44,72.41,4,3316.79,2025-05-15,Cancelled,2,5,2025,Motorcycles,65.46,S76_7134,Wolfe-Briggs,287-445-5821,910 Joshua Isle Apt. 620,Suite 495,West Belinda,NV,25076,Ukraine,EMEA,Hayes,Derek,Medium,Credit Card
14487,33,109.99,8,3624.44,2025-05-21,Shipped,2,5,2025,Classic Cars,128.42,S75_6000,Chapman Ltd,(577)767-8367x267,926 Dominguez Ridges Suite 708,Apt. 272,Kington,KS,24472,Cape Verde,EMEA,Brown,David,Medium,Credit Card
23732,48,84.27,10,3971.57,2025-02-16,Shipped,1,2,2025,Classic Cars,76.34,S97_5057,"Edwards, Wells and Hill",3327095644,563 Kelly Falls Apt. 942,Suite 542,Christopherbury,KS,78267,Mali,APAC,Diaz,Rachel,Medium,Credit Card
20116,8,122.94,7,1067.29,2025-06-26,In Process,2,6,2025,Vintage Cars,135.04,S94_6486,"Vaughn, Rodriguez and Nichols",959.274.2397x57174,95618 Kimberly Rapid,Apt. 127,Joelberg,VI,21946,Heard Island and McDonald Islands,APAC,Jones,Robert,Small,Credit Card
16760,36,75.81,9,2730.68,2025-02-05,Shipped,1,2,2025,Motorcycles,80.17,S66_9686,"Avila, Rodriguez and Clayton",457.541.5453x15736,8345 Michele Lake,Apt. 007,North Brad,VT,86188,Jamaica,LATAM,Stephens,Tracy,Medium,Cash
20774,7,120.23,2,910.78,2025-04-23,Shipped,2,4,2025,Vintage Cars,112.62,S87_6905,Johnson PLC,+1-919-825-4867x2531,0165 Williams Drives,Suite 370,Hollowayton,WY,81215,Iraq,LATAM,Cook,Elizabeth,Small,Cash
28147,53,50.64,10,2745.09,2025-01-21,Shipped,1,1,2025,Trucks and Buses,56.32,S71_2218,Wilkinson-Brown,805-754-1531,609 Maldonado Prairie,Apt. 070,East Evan,CT,64938,Saudi Arabia,EMEA,Krause,Jessica,Medium,PayPal
13413,31,89.93,5,2835.52,2025-04-12,Shipped,2,4,2025,Classic Cars,78.14,S84_2230,"Wilkerson, Jones and Wolfe",292.834.5624,84684 Sims Street,Apt. 991,South Christopher,AR,50842,Qatar,LATAM,Ford,Jennifer,Medium,Bank Transfer
24560,52,43.31,4,2236.68,2025-01-29,On Hold,1,1,2025,Motorcycles,35.35,S56_3115,Reynolds LLC,+1-855-439-7018,026 Patrick Terrace,Apt. 514,Jessicaborough,MA,14956,China,LATAM,Gross,Kimberly,Medium,Credit Card
22722,96,78.07,5,7499.9,2025-03-16,On Hold,1,3,2025,Trucks and Buses,72.83,S85_1127,"Smith, Coleman and Bennett",520.217.3641x065,387 Perez Drive,Apt. 747,Robertshire,MN,77081,Gibraltar,LATAM,Long,Robert,Large,PayPal
23061,37,63.92,7,2407.49,2025-01-04,Cancelled,1,1,2025,Classic Cars,61.94,S48_9171,Douglas-Foster,4016322158,81231 Amanda Gardens,Apt. 793,South Bobbystad,AK,7673,Saint Kitts and Nevis,APAC,Mendoza,Aaron,Medium,Credit Card
17280,9,81.85,4,709.24,2025-01-21,Shipped,1,1,2025,Vintage Cars,65.85,S95_4377,Jordan Ltd,448.390.0232,14862 Sharp Mountain Suite 324,Apt. 213,Greenhaven,MD,52138,Mozambique,LATAM,Young,Jean,Small,Credit Card
22071,50,67.84,8,3337.22,2025-02-07,Shipped,1,2,2025,Motorcycles,56.41,S96_1577,"Harris, Marsh and Lam",730.892.2622x93892,7038 Kelsey River,Apt. 375,Myersborough,GA,48005,Angola,LATAM,Vasquez,Adam,Medium,Credit Card
12408,12,40.86,7,619.31,2025-06-14,On Hold,2,6,2025,Trains,37.46,S57_5540,Dixon PLC,+1-250-382-3066x234,729 April Trail Apt. 904,Suite 160,North Russellport,VT,49205,Norway,LATAM,Medina,Cynthia,Small,Credit Card
14208,84,68.26,6,5813.49,2025-04-03,Shipped,2,4,2025,Trucks and Buses,72.41,S42_3082,"Thomas, Taylor and Bowers",845-305-0135x37044,7612 Tracy Meadows Apt. 063,Apt. 127,Hamptonburgh,AL,2733,Falkland Islands (Malvinas),LATAM,Gentry,Mark,Large,Credit Card
16091,22,26.84,6,616.57,2025-06-04,Shipped,2,6,2025,Trains,31.73,S26_5356,"Reid, White and Roberts",4093757177,0396 Timothy Vista,Apt. 726,Davidfurt,GU,49226,Vanuatu,EMEA,Holmes,Joan,Small,Bank Transfer
29970,29,102.36,2,3018.89,2025-05-29,Resolved,2,5,2025,Classic Cars,97.03,S40_2749,Ware-Lewis,(436)852-6977x3141,59975 Barry Mount Apt. 772,Suite 465,Glennshire,MA,86557,Bhutan,LATAM,Pollard,Allen,Medium,Credit Card
28343,10,129.93,4,1326.74,2025-04-14,In Process,2,4,2025,Vintage Cars,123.36,S31_2960,Osborn Ltd,+1-843-897-8214x9767,33072 Rodriguez Well,Suite 946,Ingramfurt,IA,42930,Singapore,APAC,Robinson,Michelle,Small,Credit Card
17204,38,83.35,3,3127.58,2025-02-01,Shipped,1,2,2025,Classic Cars,75.66,S31_4661,"Gray, Watson and Tyler",+1-680-588-6104,620 Guy Lodge Suite 326,Apt. 889,North Steven,OK,15253,Denmark,LATAM,Gilbert,Scott,Medium,PayPal
13922,47,85.31,6,3987.76,2025-05-01,Shipped,2,5,2025,Classic Cars,86.87,S25_2328,Adams Group,319.514.0871x406,034 Charles Crossing Apt. 251,Suite 834,West Vanessa,NC,84061,Portugal,APAC,Nelson,Vanessa,Medium,PayPal
25257,42,118.65,4,5087.75,2025-05-07,Shipped,2,5,2025,Classic Cars,96.17,S37_3654,"Singh, Mercado and Gaines",761.670.2986,54115 Dodson Isle Apt. 070,Suite 949,Derekshire,ME,43405,British Virgin Islands,APAC,Savage,Lisa,Large,PayPal
12511,25,73.74,3,1914.07,2025-05-02,Cancelled,2,5,2025,Classic Cars,77.88,S98_2232,Smith-Townsend,714.402.0564x0175,22548 Kelly Turnpike Suite 936,Suite 597,Kylemouth,NH,57519,Seychelles,APAC,Robinson,Kenneth,Small,Bank Transfer
21573,36,76.66,1,2802.21,2025-01-08,Shipped,1,1,2025,Motorcycles,71.65,S85_9743,Hill LLC,707-521-3633x8933,202 Cooper Ridge Apt. 093,Apt. 365,Jeffreyport,NH,60446,Samoa,LATAM,Williams,Tammy,Medium,Cash
27815,7,102.92,2,670.92,2025-01-03,Shipped,1,1,2025,Vintage Cars,88.54,S66_2024,King LLC,356-822-2960x56342,279 Castillo Rest Suite 353,Suite 725,North Dillonchester,CT,31416,Botswana,EMEA,Harris,Steven,Small,Credit Card
19661,51,67.71,9,3420.76,2025-06-25,Shipped,2,6,2025,Motorcycles,79.38,S14_1052,"Friedman, Gay and Martin",+1-663-521-8787,4787 Adam Circles Suite 584,Suite 153,Lake Joseph,IL,23267,Monaco,EMEA,Ramos,Barry,Medium,PayPal
26605,20,120.64,4,2389.85,2025-01-23,Shipped,1,1,2025,Ships,126.82,S77_4218,"Caldwell, Ibarra and Conrad",(664)363-3614x6901,2567 Henry Spring,Apt. 804,Perezton,NY,87101,China,LATAM,Rowe,Brenda,Medium,Bank Transfer
18188,53,66.08,1,3509.1,2025-01-22,Resolved,1,1,2025,Trucks and Buses,57.06,S24_1763,Santos Group,428.425.1409x79699,338 Nicholas Expressway,Apt. 353,Port Meagan,PW,75382,Brazil,EMEA,Harris,Candace,Medium,PayPal
25927,20,86.96,10,1753.06,2025-05-27,Resolved,2,5,2025,Classic Cars,101.2,S24_1360,Reynolds-Hughes,001-288-432-5682x86037,622 Michael Terrace Suite 565,Apt. 519,West Tina,SD,81974,Oman,EMEA,Krueger,Donald,Small,PayPal
13367,13,150.25,8,1920.6,2025-01-30,In Process,1,1,2025,Planes,120.87,S67_5655,Turner-Moore,(936)845-6856,896 Baxter Springs Apt. 585,Suite 038,East Ricardoside,WY,33510,Guyana,EMEA,Andrade,Kayla,Small,Credit Card
11766,55,67.72,9,3678.65,2025-04-03,Shipped,2,4,2025,Trucks and Buses,55.61,S24_2244,Figueroa-Simmons,561.520.9154,059 Eric Throughway,Suite 438,New Phillipshire,GU,63822,Denmark,LATAM,Hicks,Thomas,Medium,Credit Card
25986,28,98.09,7,2684.93,2025-05-23,In Process,2,5,2025,Classic Cars,111.13,S85_9600,Adams-Gallagher,(694)488-9312x6442,551 Briana Gardens,Apt. 735,West Daniel,ND,18196,Antigua and Barbuda,LATAM,Hamilton,Samuel,Medium,Cash
12740,58,50.27,10,2857.95,2025-05-05,In Process,2,5,2025,Trucks and Buses,42.86,S64_1287,Carlson-Wells,+1-395-366-9355,4937 Louis Estate Apt. 190,Suite 378,West Briantown,SC,14726,Uruguay,LATAM,Watts,Ethan,Medium,Credit Card
12149,13,21.26,4,310.62,2025-06-26,In Process,2,6,2025,Trains,24.36,S85_7444,Foster-Smith,457-975-8930x897,0333 Pruitt Springs Suite 899,Apt. 796,Lake Daniel,AK,54327,New Caledonia,APAC,Smith,Michele,Small,PayPal
29785,29,39.41,10,1199.5,2025-06-07,Cancelled,2,6,2025,Trains,42.4,S89_6354,Garcia and Sons,(469)228-6087,33165 Mark Ramp Suite 903,Suite 222,Jimmyfort,DE,16885,Bermuda,EMEA,Black,Tammy,Small,PayPal
15330,94,81.63,1,7733.17,2025-06-24,Shipped,2,6,2025,Trucks and Buses,65.89,S26_5854,"Lawrence, Smith and Richardson",+1-368-778-3902,88444 Linda Garden,Apt. 212,North Sara,NY,53223,Ukraine,APAC,Newman,Lisa,Large,Bank Transfer
20795,59,65.73,7,3778.6,2025-01-06,Shipped,1,1,2025,Trucks and Buses,63.31,S88_5519,Patterson-Jackson,313-987-6882,7852 Vicki Shore Suite 257,Suite 086,North Ronaldmouth,AL,15146,Monaco,LATAM,Thomas,Eric,Medium,PayPal
22255,53,82.67,10,4336.1,2025-03-20,Shipped,1,3,2025,Trucks and Buses,85.43,S61_8398,Hughes-Barajas,872-256-6985x2599,198 Smith Street Apt. 648,Suite 037,North Meganfort,HI,17227,Saint Pierre and Miquelon,LATAM,Mcknight,Michael,Medium,Credit Card
19828,17,85.48,5,1408.33,2025-05-04,Shipped,2,5,2025,Ships,93.66,S14_3673,Garcia-Bennett,813.531.0001x09639,01704 Richard Walks,Apt. 354,Karenton,MI,81890,Colombia,LATAM,Robinson,Brian,Small,PayPal
11723,22,104.13,6,2303.77,2025-06-06,Shipped,2,6,2025,Classic Cars,122.25,S32_4158,Ruiz Ltd,001-384-381-8841x25435,555 Brandon Heights,Apt. 194,Matthewland,AR,23634,Saint Vincent and the Grenadines,APAC,Barry,Kevin,Medium,Bank Transfer
11517,5,144.64,6,705.97,2025-01-30,Shipped,1,1,2025,Planes,165.05,S83_7005,"Ward, Hensley and Roberts",001-735-412-8370x14747,06663 Little Streets,Suite 307,Christinefort,HI,41143,Dominican Republic,LATAM,Hansen,Betty,Small,Bank Transfer
15386,42,50.72,3,2238.12,2025-06-18,Shipped,2,6,2025,Motorcycles,59.48,S55_3481,"Mccoy, Collins and Macdonald",608-499-4547,28664 Kelsey Drives,Suite 640,Jeffreyborough,UT,34508,Djibouti,LATAM,Savage,Kim,Medium,PayPal
15799,17,87.53,4,1584.06,2025-04-06,Cancelled,2,4,2025,Ships,96.47,S24_6829,Finley Inc,374.430.4478x6397,1620 English Isle Apt. 890,Apt. 093,Thorntonside,HI,71648,Bouvet Island (Bouvetoya),LATAM,Church,Peggy,Small,PayPal
20984,64,67.66,6,4391.07,2025-01-08,Resolved,1,1,2025,Trucks and Buses,72.36,S91_8594,Webb-Parsons,+1-721-956-0541x09094,375 Amy Crossroad Suite 819,Apt. 063,Montoyaberg,WY,57950,Seychelles,LATAM,Johnson,Lindsey,Medium,Bank Transfer
13236,50,61.27,1,3065.94,2025-04-22,Shipped,2,4,2025,Motorcycles,60.61,S68_7483,Morgan-Carroll,626.382.2212,318 Nathan Passage Apt. 397,Apt. 118,Lake Alexfurt,IA,91286,Vanuatu,EMEA,Jones,Robert,Medium,Credit Card
29848,47,57.97,3,2746.19,2025-03-31,Shipped,1,3,2025,Motorcycles,67.8,S15_5082,Ortiz-Beasley,751.541.5731x9812,7531 Fisher Viaduct Apt. 206,Suite 104,East Donald,NV,76980,Norfolk Island,APAC,Harris,Jonathan,Medium,Credit Card
12612,15,185.21,1,2286.04,2025-01-17,In Process,1,1,2025,Planes,177.46,S69_4138,Mcdonald Group,890-246-6316x9841,160 Melissa Loaf,Suite 763,Adamsview,MI,65162,Bangladesh,EMEA,Warren,Melissa,Medium,PayPal
14108,66,84.28,5,5444.48,2025-06-19,Shipped,2,6,2025,Trucks and Buses,86.22,S42_1314,Lee-Gray,218-647-4430,17445 Barry Shore,Apt. 341,West Reginaldchester,OH,70958,Martinique,APAC,Day,Jennifer,Large,Credit Card
14863,18,35.84,2,625.49,2025-05-08,In Process,2,5,2025,Trains,38.71,S51_3721,Cohen Ltd,862-721-2464x9438,2623 Clinton Row Suite 987,Suite 677,South Gregory,HI,30794,Oman,EMEA,Sims,Stanley,Small,Credit Card
11333,97,64.62,9,6424.3,2025-05-10,Shipped,2,5,2025,Trucks and Buses,68.67,S78_8976,"Craig, Turner and Galloway",625-735-8105,884 Ronald Bypass Apt. 404,Suite 191,Alexanderfurt,AL,37636,Guinea,LATAM,Martinez,Danny,Large,PayPal
